chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr14	18601835	106874951	0.49887852652254	1346	0.127056624432937	0.970066717818076	167157	0.449963803848814	2	1	1	-6.76746208540473
chr15	19899408	101975126	0.498873492918708	1414	0.13433983464294	0.970058498130697	177137	0.439962386458297	2	1	1	-6.76656780204062
chr16	13365	34162993	0.498855183069509	717	0.128523402238277	0.965223425995445	91581	0.430903868978168	2	1	1	-6.76298262203406
chr16	34163022	36101318	0.492679023229901	70	0.146015576043123	0.795333075840473	2105	0.429266057826458	2	1	1	-7.00094846182735
chr16	46386263	90168394	0.496297317326449	863	0.127463335592648	0.770578022531374	86849	0.366954362623026	1	1	0	-7.35706801199461
chr17	519811	22567587	0.375239376219772	798	0.124471451995486	0.774064218168475	73151	0.344504321538121	1	1	0	-6.81238921804116
chr17	24421438	33291714	0.385173169249582	140	0.134611815810525	0.774352318507309	22419	0.32576716319865	1	1	0	-6.76723791063718
chr17	34256250	82909405	0.498866150785666	1051	0.137973758640874	0.970242697350793	145477	0.450446789346791	2	1	1	-6.75143885839073
chr18	48191	117018	0.373206440658453	20	0.157078123372115	0.989372119083154	441	0.427248474264192	1	1	0	-6.74605159630782
chr18	196829	15322076	0.494085819604755	267	0.119754914670478	0.964466163489564	25490	0.420588989909081	2	1	1	-6.74978684853239
chr18	20951303	80160338	0.498788240176582	425	0.134644796527621	0.899301171089256	61811	0.414723693008352	2	1	1	-7.99720915513818
chr19	282875	24127611	0.498868656341817	1140	0.129390513531972	0.952829737143234	109336	0.436535081737897	2	1	1	-6.79739206380706
chr19	27755327	58571238	0.498874151068247	1225	0.116858145543241	0.959616076764663	129001	0.432935958295805	2	1	1	-6.78187227602188
chr20	227169	26208142	0.434086824957671	355	0.132384023540863	1.16129689198075	41378	0.533761896841203	3	2	1	-6.74132380295087
chr20	28513701	31063178	0.368510307490502	208	0.122745354798766	1.10770732610286	3122	0.574162476467496	3	2	1	-6.85035400021374
chr20	31064031	31186188	0.490536936154179	23	0.18620068649759	0.835482795437403	199	0.492766091974609	2	1	1	-6.74237881463607
chr20	31285311	64303122	0.49881237833389	510	0.145270838923809	1.16093467266748	80445	0.588011081658348	3	2	1	-6.90586412002333
chr21	5034010	10692896	0.498553014457404	112	0.128936366285221	0.9042864594225	2248	0.443166796001212	2	1	1	-6.84638281096395
chr21	13283953	46550668	0.498831256844829	532	0.12232159996509	0.972020698414628	48542	0.481675422221616	2	1	1	-6.74081548111782
chr22	10685603	12694087	0.404855006805116	79	0.106698813518388	0.980795324911844	1553	0.494280381321336	3	2	1	-6.89184337209169
chr22	15563615	50808246	0.496591351479134	948	0.129993059364567	0.970566991031402	95779	0.42134006992705	2	1	1	-6.74777520958949
chrX	305038	57677136	0.498817367493407	430	0.1454571664872	0.994098795325022	88086	0.448996532557949	2	1	1	-6.76167329898524
chrX	64044971	156025429	0.461742109238817	459	0.150404117274168	0.996030903178525	124200	0.463876531524784	2	1	1	-6.82812425161379
